Memory       Predicted
128           2.38
192           2.24
256           2.14
320           2.07
384           2.02
448           1.97
512           1.93
576           1.90
640           1.87
704           1.84
768           1.82
832           1.80
896           1.78
960           1.76
1024          1.74
1088          1.72
1152          1.71
1216          1.70
1280          1.68
1344          1.67
1408          1.66
1472          1.65
1536          1.64
1600          1.63
1664          1.62
1728          1.61
1792          1.60
1856          1.59
1920          1.58
1984          1.58
2048          1.57
2112          1.56
2176          1.56
2240          1.55
2304          1.54
2368          1.54
2432          1.53
2496          1.52
2560          1.52
2624          1.51
2688          1.51
2752          1.50
2816          1.50
2880          1.49
2944          1.49
3008          1.48
